"Prc","Bed","floor","TotFloor","Bath","Sqft","City","Comp","Dist"
596,3,3,4,4,501,"Blossomville","Leaseflow",10.6
3130,2,5,7,2,1275,"Terranova","Rentopia",1.4
2300,1,4,6,2,982,"Riverport","Leaseflow",6.8
2840,1,2,4,1,2418,"Terranova","Leaseflow",0.4
2790,4,1,2,3,1655,"Terranova","Rentopia",5.3
3230,3,5,5,2,1024,"Riverport","Leaseflow",0.5
2240,1,1,4,1,864,"Terranova","Rentopia",3.5
2030,3,2,4,1,671,"Blossomville","Rentopia",3.6
1800,4,1,5,1,609,"Riverport","Rentopia",1.4
1600,1,1,4,1,834,"Terranova","Rentopia",4
3050,1,1,1,1,1541,"Blossomville","Leaseflow",2.2
1220,4,1,2,3,652,"Blossomville","Rentopia",4.3
1340,1,1,2,1,1443,"Blossomville","Leaseflow",1
1770,4,3,3,1,1805,"Riverport","Rentopia",3.2
3150,1,2,6,2,1479,"Riverport","Rentopia",1.6
2090,4,4,4,1,1121,"Terranova","Rentopia",1.7
1810,1,1,1,1,813,"Blossomville","Rentopia",2.2
3080,4,1,6,2,1981,"Blossomville","Rentopia",0.6
1980,1,3,3,1,876,"Riverport","Rentopia",5
2270,4,1,3,2,1437,"Terranova","Rentopia",8.1
2490,3,1,3,1,1730,"Riverport","Rentopia",1.6
1330,4,2,3,1,735,"Terranova","Rentopia",2.1
2480,4,1,1,2,1973,"Terranova","Rentopia",2
1530,1,3,4,1,1604,"Terranova","Leaseflow",2.3
2630,1,1,1,1,1851,"Riverport","Rentopia",4.1
2610,1,1,9,1,1405,"Blossomville","Rentopia",1.6
1500,4,2,5,1,1611,"Blossomville","Rentopia",4.2
2040,3,2,3,1,1201,"Riverport","Leaseflow",1.2
2040,1,4,5,1,1063,"Terranova","Rentopia",3
1800,2,1,4,1,1530,"Riverport","Rentopia",0.4
3170,3,4,4,1,634,"Blossomville","Leaseflow",1.5
1580,3,2,2,1,923,"Riverport","Rentopia",4.6
1420,4,1,4,1,662,"Riverport","Rentopia",2.8
1190,4,2,4,1,1298,"Blossomville","Rentopia",5.5
1190,3,3,10,2,622,"Blossomville","Rentopia",3.3
2690,1,7,7,1,721,"Terranova","Rentopia",1.2
2820,2,1,2,1,2442,"Riverport","Leaseflow",7.3
925,3,2,3,1,585,"Terranova","Rentopia",9.5
2830,1,2,2,1,1161,"Riverport","Rentopia",1.4
2370,1,4,8,1,1156,"Terranova","Leaseflow",2.7
2580,4,3,5,2,1793,"Riverport","Rentopia",0.5
3280,1,1,2,2,1473,"Terranova","Leaseflow",2.5
1950,2,1,3,1,1246,"Riverport","Leaseflow",8.8
1540,4,1,2,1,1164,"Riverport","Rentopia",5.8
3740,1,2,4,4,1353,"Riverport","Leaseflow",9.5
1500,3,1,2,2,1946,"Blossomville","Rentopia",1.2
4710,1,1,2,4,849,"Blossomville","Leaseflow",0.9
