"Age","BP","Sq","DL","PU"
35.2,398,375,493,39
63.7,261,531,514,14
23.5,157,134,272,3
37.2,160,114,236,10
45.9,128,156,354,14
47.7,313,350,430,35
50.1,278,413,557,11
32.7,371,451,582,19
29.4,381,411,490,22
27.1,151,256,315,6
43.6,170,329,186,17
54.6,275,499,454,23
50.8,294,414,404,29
47.5,83,227,233,1
42.5,115,158,203,3
43.3,271,501,390,24
33.2,176,326,319,18
25.8,156,143,327,13
36.5,193,315,371,29
36.3,173,252,183,13
39.4,255,354,475,15
48.4,114,177,230,0
28,169,156,282,12
57.9,234,286,327,13
53.7,281,295,593,10
41,152,102,252,3
47.1,115,161,172,2
40.5,285,392,467,43
26.9,347,498,391,21
27.5,402,461,439,39
41.6,115,242,202,6
32.3,173,283,297,13
50,282,259,312,12
41.9,280,502,293,13
38.3,301,346,380,27
40.3,99,248,195,5
25.5,165,263,154,19
49.6,284,325,471,17
28,156,215,254,13
19.8,380,426,457,18
39.9,175,251,138,18
59.6,226,266,454,15
34.6,396,386,571,28
27.6,191,431,230,27
44.2,167,169,194,17
32.8,175,108,292,1
44.9,245,383,236,14
42.1,191,244,299,29
40.8,171,288,240,18
55,127,175,195,2
45.9,334,438,490,26
44.5,306,400,304,22
41.6,111,121,207,0
30.3,366,497,556,37
43.1,262,333,559,16
25.5,183,235,207,7
39.3,234,351,338,11
32.2,355,438,576,41
26.6,369,448,475,18
55.1,120,241,199,4
37.8,90,112,239,2
49.6,271,507,355,18
48.1,283,438,535,30
61.8,278,369,326,29
22.1,380,453,545,21
26.7,127,200,238,4
52.6,251,293,324,27
45.8,271,275,370,41
41.7,338,477,477,35
41.8,143,185,338,15
52.8,318,379,591,27
49,264,492,317,21
42.8,127,201,216,9
30,214,275,321,6
51.1,106,136,183,5
51.5,147,332,376,10
42.8,310,477,369,19
39.1,180,273,317,20
50.9,259,328,608,36
25.4,169,113,283,9
28.3,379,416,491,19
51.6,87,140,219,7
53.7,95,170,209,9
19.9,393,409,518,19
37.7,165,192,377,19
66.1,313,324,351,35
51.9,91,218,159,9
55.4,124,143,200,8
37.7,158,330,205,9
54.2,100,147,149,4
34,344,374,435,37
44.5,260,464,461,11
37.2,342,465,607,36
31.8,293,263,299,17
26.7,140,117,315,10
49.9,269,492,458,14
47.2,114,148,140,8
43,271,409,465,19
47.2,388,391,497,23
49.9,125,128,164,2
48.9,250,229,435,14
56.7,278,532,445,30
29.5,193,324,472,29
27.1,392,348,566,29
30.7,174,166,334,3
58.1,272,503,413,13
54.3,290,269,566,22
57.4,272,498,560,14
40.6,179,258,147,5
49.2,303,324,345,40
38.6,146,161,241,8
28.1,175,306,333,6
41.8,350,451,442,30
26.6,364,473,547,19
49.4,112,188,141,3
55.3,215,205,252,7
55,94,204,167,4
48.3,97,155,214,3
51,292,353,465,29
53.5,105,175,182,8
46.3,99,193,229,7
43.9,281,476,299,32
47,263,485,453,43
58.1,272,462,383,13
30,328,478,399,11
38.6,266,270,519,29
42.9,362,375,567,22
31.9,197,356,279,18
28.8,184,122,293,19
28.9,399,420,558,31
51.5,269,460,442,15
38.3,368,438,564,35
55.3,90,179,181,1
46.6,306,528,447,30
45.1,172,215,196,13
67.3,263,351,423,14
29.4,180,124,204,13
47.8,279,471,600,17
28.4,397,496,556,38
67.1,324,500,522,30
28.5,366,341,418,26
63.6,240,216,395,7
29.2,207,256,411,16
29.9,366,430,491,22
59,259,366,461,36
51,312,441,570,28
52.6,320,326,387,26
26.6,163,304,241,15
20.8,164,138,368,3
43.3,293,346,338,22
43.3,179,270,187,3
32.3,191,332,271,5
47.7,346,430,549,35
22.1,149,117,285,6
55,253,243,271,10
54.1,118,102,215,7
54.9,257,489,387,25
49.7,290,426,320,37
40.2,190,194,330,28
24.4,160,172,357,6
48.6,251,425,488,29
31.9,172,284,365,15
36.6,135,153,361,1
50.7,322,476,521,28
28.4,178,187,155,4
24.5,164,244,248,19
52.2,95,218,234,3
50.5,289,486,598,34
39,163,111,352,9
52.6,113,133,186,7
30.1,160,105,137,11
56.7,290,341,372,32
56.3,108,233,166,5
46.2,273,397,471,9
34.7,394,420,597,37
52.9,270,340,474,41
37.8,366,483,454,36
49.2,245,284,269,18
45.4,353,349,539,21
45.7,272,356,333,38
41.6,81,136,143,4
41.7,177,231,268,19
39.7,304,273,547,34
44.2,160,206,297,5
25,146,314,243,16
50.4,115,199,148,9
45.5,91,133,152,7
42.8,184,195,274,13
38.8,271,480,550,24
48.7,132,163,269,10
37.4,185,223,249,9
34,173,226,168,5
44.2,290,390,477,27
50.7,109,161,171,9
36.7,157,104,204,2
56.1,88,186,225,3
39.9,293,269,401,42
47.8,157,136,221,3
20.5,161,174,267,16
30.3,343,496,516,33
36.3,276,252,326,37
34.1,178,213,241,8
31.9,164,180,234,17
48.6,114,147,197,3
36,157,213,140,7
39.2,170,151,146,16
48.5,267,443,356,9
44.7,100,126,175,4
50.3,260,532,581,29
54.3,308,257,487,24
41.4,119,148,135,4
39.8,119,140,233,4
30.5,166,198,274,10
33.6,393,533,604,30
27.3,398,339,532,28
51.6,256,254,508,17
51.2,276,409,556,40
28.2,185,397,473,6
45.6,244,173,320,19
32.2,162,132,157,5
57.7,104,145,211,2
45.9,243,264,317,22
49.7,88,182,143,4
45,163,280,164,17
47.6,295,480,525,14
46,269,280,463,18
31.7,372,495,429,26
42.7,134,128,372,13
45.9,230,404,243,13
49.2,291,427,302,23
50.8,277,491,518,40
18.9,164,225,240,12
44,292,403,489,23
34.4,184,295,238,11
56.4,122,133,136,6
47.4,80,194,205,4
42.8,93,170,188,0
51,116,186,165,0
57.7,322,303,435,25
25.5,366,493,578,25
36.4,350,471,608,39
21.8,196,419,226,4
22.1,415,344,550,42
27.8,139,291,349,18
57.2,107,231,168,5
28.8,197,229,264,27
45.9,175,287,152,11
28.9,346,400,399,39
54.5,296,437,312,36
40.2,387,335,490,32
40.8,148,183,250,7
29.1,175,160,243,9
20.3,165,276,351,2
25.5,172,246,208,8
57,295,251,398,29
25.2,375,443,549,40
40.6,284,495,453,34
28.9,180,303,328,13
25.6,149,124,168,12
41.8,203,302,415,17
23.2,380,466,516,22
26.2,372,424,401,28
28.3,344,512,590,19
25.7,203,363,381,19
64.4,255,433,470,14
43.5,250,246,323,9
35.5,358,360,567,35
41.3,79,178,148,4
16.5,176,193,278,19
56.8,228,347,355,28
56.6,244,356,408,26
45,115,223,164,4
51.2,92,146,220,0
56.5,293,271,553,14
39.4,135,272,363,18
32.1,199,215,303,12
32.9,168,154,197,18
34.2,173,124,331,19
56.1,293,502,301,39
43.1,154,267,336,20
31.9,135,112,286,16
31.1,370,511,484,27
37.7,264,333,589,31
34.9,358,371,457,39
28.6,372,463,523,26
41.1,92,148,237,4
38.1,104,177,217,3
38.8,368,390,414,37
58.4,279,332,549,20
26.4,366,405,407,19
30,158,179,298,7
46.6,314,350,528,37
52.6,252,415,429,7
60.5,248,367,407,29
39.4,327,472,540,32
54.1,95,166,161,3
49.2,95,199,219,4
48.9,119,212,209,8
27.3,158,187,275,10
55.5,109,128,244,3
50.4,86,234,146,5
39.3,265,344,354,12
41.7,399,351,466,22
26,330,279,349,14
29.1,171,101,251,19
49.1,328,400,549,28
47.9,323,268,372,26
57.2,292,516,390,37
19.3,173,139,279,5
59.5,264,459,545,18
47.9,272,377,436,29
22.2,354,437,490,19
55.1,99,137,148,1
47.8,95,141,223,5
29.8,184,218,224,12
26.1,179,288,340,19
41.2,373,460,428,23
56.2,270,423,368,18
28.5,375,353,508,23
31.3,149,327,327,17
51.7,233,229,380,6
30.6,336,431,593,21
37,162,206,216,2
33,373,432,394,29
37.3,169,199,225,14
30.7,189,349,285,28
44.6,168,278,339,11
35.8,359,495,554,27
52.9,304,415,561,25
33.3,182,239,249,13
23.2,182,210,165,11
29.8,87,158,140,2
49,245,197,391,12
35,81,198,187,5
45.5,282,508,386,32
29.1,196,407,446,31
49.5,95,232,170,7
35.7,332,364,520,28
33.3,360,440,515,36
47.6,280,417,480,35
30.7,162,271,182,8
40.6,170,322,342,11
39.7,231,386,210,20
23.9,185,215,292,21
28.9,163,284,246,19
32.9,156,221,203,20
39.6,346,398,414,34
27.4,184,153,297,15
34.1,175,221,179,14
46.5,295,382,341,13
35.7,149,270,229,13
47,250,253,368,15
19.9,161,314,355,18
40.7,76,190,141,0
35.5,291,524,337,16
47.6,242,369,404,31
27,159,257,315,12
25.8,367,368,534,36
31.5,196,258,325,28
42.8,158,247,263,12
32.7,409,339,591,41
41.3,178,191,302,20
48.3,302,489,348,42
44.3,138,331,302,12
47.6,339,519,397,42
25.1,360,517,530,36
30.8,178,193,379,16
35.2,417,362,402,25
46.1,115,162,211,6
25.9,391,495,573,22
39.4,101,153,150,4
45.6,292,526,413,31
50.2,295,514,299,15
29.3,401,335,410,35
32.8,353,433,578,39
57.1,281,456,413,12
24.2,362,532,447,24
46.6,103,189,195,2
37.7,180,140,174,17
28.6,171,140,269,12
31.6,386,385,400,23
40.5,396,386,547,39
27,177,195,143,19
32.4,191,289,295,27
37.3,176,173,146,6
30.7,251,288,439,24
57.7,245,213,291,15
39.2,95,187,164,2
44.4,114,211,202,1
50.8,103,140,209,1
28.3,359,368,498,35
46,134,270,319,6
57.9,303,482,497,32
23.6,388,417,502,34
41.4,99,185,137,0
45.9,323,506,305,11
44.9,171,296,216,18
44.9,109,135,190,2
44.3,87,165,223,2
48.1,299,493,365,23
60.9,300,376,304,11
58.3,315,391,412,22
31.5,165,153,280,3
19,368,338,606,33
20.2,206,388,267,25
31.2,183,196,223,18
42.3,125,156,239,3
30.3,144,149,164,7
32.3,177,327,298,9
43.3,198,335,416,25
57.1,282,458,572,10
54.3,270,359,467,32
34.2,364,356,592,38
53.4,111,191,167,0
55.1,278,518,545,27
31.2,379,478,579,31
53.9,116,208,244,8
51.8,262,256,394,19
34.5,379,348,439,43
53.7,278,271,556,29
45,151,145,294,4
52.2,289,443,341,12
45.1,111,180,230,1
30.7,159,123,210,12
53.4,209,345,458,10
57.7,298,463,291,13
25.4,181,326,150,19
44.1,93,243,175,0
56.1,287,485,472,25
45.3,274,398,337,25
48.9,103,235,141,1
43.8,267,265,563,30
50.8,303,410,486,17
37.9,305,256,431,16
36.9,170,191,206,9
35.6,357,363,490,30
40.2,360,366,553,22
36.6,160,331,155,12
44.6,88,248,180,6
28.2,155,166,386,2
34.3,162,280,294,6
41.6,293,506,494,42
34.4,358,415,552,38
63,273,525,445,38
40.4,193,322,347,14
40.8,171,227,259,6
47.3,201,233,366,4
16,376,456,564,27
47.6,382,469,413,35
48.1,118,217,242,4
28,184,301,203,16
56.8,279,405,415,30
54.1,108,248,208,5
47.6,101,211,209,7
27.6,172,170,163,20
24.3,164,292,275,4
54.1,272,392,588,14
33.4,165,270,239,8
38.7,274,332,459,19
32.5,358,532,402,26
36.5,111,114,189,4
39.7,292,434,568,16
38.7,293,448,446,28
56.9,122,190,208,4
50.6,341,338,523,35
16.7,176,228,212,2
46.3,239,309,269,17
33.6,188,246,249,22
38.6,300,477,514,16
23.5,165,115,345,17
59.2,306,318,604,30
24.5,371,480,479,27
35.3,291,481,489,35
51.8,273,258,295,41
21.3,164,182,308,18
30.5,396,485,473,19
43.7,269,481,563,36
43.8,100,123,198,6
44,172,282,221,17
54.8,64,200,151,6
26.4,378,525,471,29
64.8,334,365,470,34
56.6,311,259,599,41
24.6,344,457,530,20
44,86,122,200,4
41.5,168,329,354,9
35.2,381,337,391,39
42.8,89,237,150,7
24.8,203,327,444,13
47.6,275,271,299,30
36.4,286,467,521,35
43.9,270,444,316,18
29.9,180,132,316,14
22.2,159,212,175,10
47,300,527,524,24
27.2,169,310,350,4
50.4,257,359,326,24
58.5,283,296,316,26
29.1,369,503,597,36
41.8,218,384,245,18
51.6,124,152,175,4
59.7,275,364,378,12
49.9,362,463,598,28
38.8,261,278,299,39
51.9,292,261,342,35
30.9,342,477,606,20
55.4,121,237,177,8
52.9,337,521,569,30
29.9,395,465,574,37
59.1,107,197,216,8
59.7,96,226,160,7
39.9,300,395,478,10
59,295,378,572,11
56.2,125,133,191,4
