"Index","Room","Ren","DT","TM","S1_L","S2_L","S3_L","S1_T","S2_T","S3_T","FN"
1,"111","New",47,21,1,1,1,24.479,21.651,22.227,1106
2,"111","New",3,2,1,1,1,23.771,24.167,22.104,1146
3,"311","Old",27,10,1,1,1,24.76,21.143,22.881,1109
4,"211","New",5,22,1,1,1,22.13,23.925,19.353,1111
5,"311","Old",28,18,1,1,1,24.425,24.832,24.287,1120
6,"211","New",9,18,1,1,1,22.158,20.393,26.612,1078
7,"211","New",58,14,0,0,1,21.577,21.367,21.282,1079
8,"211","New",28,13,0,0,1,22.364,24.186,24.469,1112
9,"211","New",18,13,1,1,1,25.242,24.703,25.361,1116
10,"211","New",57,16,1,1,1,18.997,22.908,19.642,1172
11,"111","New",7,22,1,1,1,26.319,20.026,21.123,1103
12,"111","New",29,2,0,0,1,22.11,24.763,23.875,1097
13,"211","New",48,2,1,1,1,20.749,28.46,22.082,1108
14,"211","New",33,20,1,1,1,24.74,20.58,25.429,1122
15,"211","New",29,7,1,1,1,23.147,24.972,25.738,1115
16,"111","New",3,23,1,1,1,19.171,20.445,21.868,1124
17,"211","New",56,7,1,1,1,23.181,25.767,23.82,1092
18,"211","New",59,2,1,1,1,22.326,19.734,24.148,1118
19,"111","New",19,5,1,1,1,18.474,24.341,21.214,1101
20,"111","New",4,19,0,0,1,20.12,22.227,24.619,1088
21,"111","New",26,6,0,0,1,22.531,22.085,22.685,1097
22,"211","New",60,5,1,1,1,22.237,24.553,21.386,1089
23,"211","New",20,19,0,0,1,22.978,23.588,22.581,1027
24,"211","New",6,22,0,0,1,21.324,20.964,21.487,1086
25,"311","Old",59,14,1,1,1,20.657,24.442,22.403,1147
26,"211","New",8,3,1,1,1,22.757,23.848,26.65,1077
27,"111","New",27,3,0,0,1,18.773,20.189,24.957,1201
28,"111","New",19,4,0,0,1,19.969,21.514,21.221,1147
29,"311","Old",23,5,1,1,1,22.647,21.403,26.274,1045
30,"211","New",24,8,1,1,1,20.437,26.428,20.068,1000
31,"211","New",34,18,1,1,1,23.257,22.97,21.099,1114
32,"211","New",13,21,1,1,1,21.188,22.218,21.093,1117
33,"211","New",13,18,0,0,1,25.992,24.529,21.485,1056
34,"311","Old",56,16,0,0,1,22.517,25.236,23.069,1079
35,"311","Old",41,4,1,1,1,22.598,21.706,21.858,1095
36,"311","Old",1,6,0,0,1,25.268,22.511,19.847,1138
37,"211","New",43,5,1,1,1,18.013,21.443,25.929,1097
38,"311","Old",54,18,0,0,1,24.097,26.511,24.084,1166
39,"111","New",12,7,1,1,1,22.782,19.753,19.093,1093
40,"211","New",22,23,0,0,1,21.455,22.262,21.773,1029
41,"311","Old",35,4,1,1,1,18.309,20.29,23.556,1133
42,"211","New",52,14,0,0,1,21.094,23.887,21.233,1050
43,"311","Old",50,17,1,1,1,23.964,27.136,23.319,1125
44,"211","New",20,3,0,0,1,26.988,21.911,19.688,1110
45,"311","Old",3,22,1,1,1,23.435,18.456,24.203,1193
46,"311","Old",41,24,1,1,1,20.026,23.075,22.513,1067
47,"111","New",25,17,1,1,1,21.068,22.191,24.456,1075
48,"211","New",5,17,0,0,1,21.513,20.896,21.876,1144
49,"211","New",12,9,0,0,1,24.292,21.908,24.932,1068
50,"111","New",2,9,1,1,1,21.678,23.586,22.954,1158
51,"111","New",6,8,1,1,1,22.239,25.792,24.003,1102
52,"311","Old",43,12,1,1,1,24.121,25.749,23.225,1104
53,"311","Old",26,23,0,0,1,23.657,23.341,25.023,1107
54,"211","New",36,8,0,0,1,21.23,26.988,21.635,1088
55,"211","New",12,2,0,0,1,23.38,23.611,19.657,1049
56,"211","New",3,19,0,0,1,21.609,24.786,21.895,1117
57,"111","New",36,10,1,1,1,19.383,17.521,20.839,1139
58,"111","New",48,8,0,0,1,21.421,21.334,20.454,1143
59,"211","New",11,24,0,0,1,26.276,21.619,24.237,1051
60,"311","Old",32,23,1,1,1,22.707,19.296,20.767,1068
61,"111","New",19,1,1,1,1,22.339,20.083,22.967,1088
62,"211","New",4,14,1,1,1,22.948,21.085,22.602,1045
63,"211","New",45,12,0,0,1,25.237,21.246,22.636,1103
64,"311","Old",7,11,0,0,1,24.66,24.181,20.679,1060
65,"311","Old",7,10,1,1,1,20.084,24.653,22.052,1081
66,"111","New",29,9,0,0,1,21.101,20.418,21.929,1055
67,"311","Old",42,17,1,1,1,21.438,21.142,22.022,1094
68,"111","New",16,16,0,0,1,22.224,20.276,22.603,1091
69,"311","Old",9,14,1,1,1,26.828,23.046,19.505,1120
70,"211","New",24,2,1,1,1,22.936,23.367,23.106,1076
71,"211","New",48,10,0,0,1,21.102,23.346,23.121,1160
72,"311","Old",11,17,0,0,1,22.223,20.496,20.229,1059
73,"111","New",57,2,0,0,1,24.048,17.25,23.222,1087
74,"111","New",33,13,1,1,1,20.843,20.501,24.11,1114
75,"311","Old",36,5,1,1,1,21.025,21.01,22.317,1148
76,"311","Old",25,21,1,1,1,23.009,25.387,21.762,1066
77,"111","New",15,23,1,1,1,21.034,19.946,23.354,1097
78,"311","Old",47,19,1,1,1,24.508,24.931,17.34,1062
79,"311","Old",5,6,1,1,1,19.651,21.418,20.511,1124
80,"211","New",12,1,0,0,1,22.918,21.692,22.83,1119
81,"311","Old",50,9,0,0,1,24.271,21.148,20.005,1095
82,"211","New",53,14,0,0,1,24.925,22.211,22.786,1099
83,"311","Old",5,11,0,0,1,21.993,23.626,23.326,1089
84,"111","New",48,11,1,1,1,21.406,19.778,21.485,1100
85,"111","New",23,17,1,1,1,20.992,25.028,22.368,1051
86,"111","New",47,4,0,0,1,17.767,22.276,20.393,1116
87,"311","Old",45,23,0,0,1,22.846,21.684,21.534,1071
88,"211","New",17,9,0,0,1,22.795,23.618,19.254,1130
89,"111","New",55,20,0,0,1,22.881,20.082,22.304,1159
90,"111","New",36,24,0,0,1,19.285,19.335,23.792,1066
91,"311","Old",49,24,1,1,1,21.942,23.114,25.801,1074
92,"111","New",49,5,0,0,1,20.337,18.92,24.535,1075
93,"111","New",9,7,1,1,1,24.039,19.82,24.403,1090
94,"311","Old",14,17,0,0,1,26.892,23.42,26.856,1059
95,"311","Old",14,21,1,1,1,22.351,26.011,23.211,1162
96,"311","Old",14,10,0,0,1,21.836,19.251,19.72,1101
97,"211","New",48,21,1,1,1,20.018,22.862,22.971,1044
98,"111","New",36,6,0,0,1,19.89,21.333,23.432,1162
99,"311","Old",18,18,0,0,1,23.241,26.13,20.589,1063
100,"311","Old",18,13,0,0,1,26.273,21.594,24.398,1133
101,"111","New",3,3,1,1,1,22.394,24.175,19.52,1104
102,"211","New",45,24,0,0,1,21.498,24.298,24.422,1111
103,"111","New",50,9,1,1,1,21.421,21.587,24.186,1120
104,"311","Old",48,10,1,1,1,24.434,23.305,24.602,1129
105,"311","Old",21,12,1,1,1,23.965,27.442,24.07,1060
106,"111","New",19,14,0,0,1,23.483,18.873,23.687,1115
107,"211","New",60,22,0,0,1,26.528,24.206,25.837,1066
108,"311","Old",46,13,1,1,1,20.484,19.821,25.953,1085
109,"111","New",5,17,1,1,1,20.254,25.538,22.948,1149
110,"111","New",39,13,1,1,1,18.137,16.632,23.236,1088
111,"311","Old",60,11,0,0,1,23.106,27.04,19.712,1083
112,"211","New",45,13,0,0,1,22.126,20.929,25.381,1118
113,"311","Old",13,13,1,1,1,22.655,19.108,23.568,1147
114,"311","Old",51,17,0,0,1,24.72,22.52,21.523,1129
115,"311","Old",29,16,0,0,1,22.629,21.768,22.202,1095
116,"311","Old",6,4,1,1,1,23.665,23.189,21.077,1159
117,"111","New",44,17,0,0,1,22.452,21.01,26.665,1168
118,"311","Old",30,14,0,0,1,24.47,19.72,24.852,1138
119,"311","Old",18,17,1,1,1,25.655,23.581,24.148,1103
120,"311","Old",59,16,0,0,1,22.997,21.311,24.217,1101
121,"111","New",36,17,1,1,1,21.942,20.152,24.516,1088
122,"211","New",60,24,1,1,1,21.375,22.057,21.722,1092
123,"311","Old",28,10,0,0,1,22.227,24.792,21.813,1084
124,"311","Old",17,15,1,1,1,22.695,19.598,21.373,1126
125,"311","Old",56,20,1,1,1,22.216,23.948,20.575,1078
126,"111","New",31,14,0,0,1,20.089,19.474,24.979,1114
127,"211","New",60,18,1,1,1,21.209,20.49,22.137,1147
128,"111","New",35,7,1,1,1,22.158,20.806,26.533,1139
129,"111","New",54,9,0,0,1,24.316,22.786,22.676,1176
130,"311","Old",39,24,0,0,1,26.764,20.465,21.31,1085
131,"311","Old",21,8,0,0,1,23.599,24.71,21.966,1053
132,"211","New",54,21,1,1,1,20.501,23.155,20.372,1105
133,"211","New",19,17,0,0,1,25.108,24.297,23.512,1125
134,"111","New",47,10,1,1,1,22.57,17.993,22.639,1094
135,"111","New",24,7,1,1,1,21.12,19.98,21.884,1104
136,"311","Old",55,11,1,1,1,26.949,23.621,24.576,1128
137,"111","New",3,21,0,0,1,21.497,18.456,23.184,1113
138,"311","Old",19,16,0,0,1,20.295,21.79,22.297,1163
139,"211","New",44,4,0,0,1,21.649,21.016,24.194,1116
140,"111","New",32,16,0,0,1,21.484,22.047,21.294,1089
141,"111","New",37,13,1,1,1,25.95,20.382,21.065,1061
142,"211","New",2,4,1,1,1,24.849,21.556,20.275,1043
143,"211","New",53,23,0,0,1,23.848,24.863,19.561,1103
144,"111","New",24,17,0,0,1,22.895,20.766,23.942,1073
145,"211","New",55,2,1,1,1,21.103,22.672,22.157,1112
146,"211","New",48,5,0,0,1,23.671,23.602,20.543,1103
147,"211","New",18,15,0,0,1,21.393,24.172,23.473,1108
148,"111","New",43,6,1,1,1,24.948,24.798,22.233,1098
149,"111","New",25,18,1,1,1,18.455,20.476,25.789,1098
150,"311","Old",31,22,0,0,1,19.834,22.555,27.138,1070
151,"111","New",46,17,1,1,1,17.596,21.469,24.367,1095
152,"211","New",42,8,1,1,1,22.927,23.252,27.104,1065
153,"211","New",27,7,1,1,1,19.986,24.026,21.827,1121
154,"211","New",44,11,0,0,1,25.112,29.231,23.78,1129
155,"211","New",26,20,1,1,1,22.324,18.976,24.567,1125
156,"311","Old",49,11,1,1,1,22.536,25.537,21.638,1104
157,"211","New",11,14,1,1,1,22.624,24.844,18.84,1139
158,"111","New",44,1,0,0,1,22.39,25.465,22.902,1154
159,"211","New",21,15,0,0,1,21.201,21.683,24.357,1017
160,"311","Old",18,22,0,0,1,24.776,23.607,24.809,1104
161,"211","New",3,5,1,1,1,21.727,24.959,23.215,1040
162,"211","New",53,9,0,0,1,22.731,21.542,20.848,1096
163,"311","Old",6,19,1,1,1,21.228,24.376,22.515,1105
164,"311","Old",35,20,0,0,1,21.628,22.438,23.609,1082
165,"111","New",29,20,0,0,1,22.631,22.851,22.766,1143
